file,unix_ts,local_dt,local_tm,column,original_value,recovered_value,method,source_hour_unix_ts,source_samples,confidence,notes
energy_hourly.csv,1528484400,2018-06-08,12:00:00,frdg,,44,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,gen1,,0,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,gen2,,2,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,gen3,,37,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,gen4,,2,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,gen5,,7,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,gen6,,2,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,kit1,,1,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,kit2,,0,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,main,,407,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,outp,,1,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528484400,2018-06-08,12:00:00,vacu,,0,recovered_1hz_power_mean_ceil,1528480800,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,beda,,3,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,bedp,,272,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,boil,,28,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,chrg,,0,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,cwsh,,3,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,dryr,,1,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,dwsh,,0,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,frdg,,48,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,gen1,,0,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
energy_hourly.csv,1528488000,2018-06-08,13:00:00,gen2,,2,recovered_1hz_power_mean_ceil,1528484400,3600,medium,Hourly aggregation is direct; missing 1 Hz seconds are synthetic donor values.
